ip,country,province,city,district,servname,d_datebuf
119.50.47.136,中国,吉林省,延边朝鲜族自治州,延吉市,/ws/valueadded/weather/info/ , 2015-06-03 11:29:07 
115.199.84.204,中国,浙江省,杭州市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-03 10:47:49 
223.129.12.17,中国,四川省,成都市,NULL,/ws/mapapi/geo/reversecode/ , 2015-06-03 10:47:49 
27.115.189.146,韩国,NULL,NULL,NULL,/ws/nearby_v3/nearby_category/ , 2015-06-03 08:02:54 
213.230.73.89,乌兹别克斯坦,NULL,NULL,NULL,/ws/nearby_v3/nearby_category/ , 2015-06-03 03:54:59 
27.19.110.134,中国,湖北省,武汉市,NULL,/ass?t=search/,2015-06-03 01:21:55 
111.31.242.148,中国,天津市,天津市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-02 23:10:15 
125.33.84.19,中国,北京市,北京市,石景山区,/ass?t=search/,2015-06-02 22:58:33 
39.184.226.117,中国,浙江省,NULL,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-02 22:58:33 
111.10.243.49,中国,重庆市,重庆市,NULL,/ws/transfer/auth/clusterservice/messagehandle/ , 2015-06-02 21:40:49 
119.50.206.127,中国,吉林省,延边朝鲜族自治州,珲春市,/ws/valueadded/weather/info/ , 2015-06-02 20:36:52 
112.10.172.117,中国,浙江省,杭州市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-02 20:17:05 
115.60.51.87,中国,河南省,郑州市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-02 18:56:40 
36.104.4.18,中国,浙江省,杭州市,NULL,/ws/valueadded/weather/info/ , 2015-06-02 16:27:41 
222.161.128.42,中国,吉林省,延边朝鲜族自治州,延吉市,/ws/valueadded/weather/info/ , 2015-06-02 14:28:32 
106.6.110.247,中国,江西省,南昌市,NULL,/ws/transfer/auth/clusterservice/messagehandle/ , 2015-06-01 23:13:34 
14.148.19.107,中国,广东省,汕头市,NULL,/ws/transfer/aps/locate/ , 2015-06-01 22:42:28 
180.59.167.125,日本,NULL,NULL,NULL,/ws/nearby_v3/nearby_category/ , 2015-06-01 19:58:09 
122.225.171.107,中国,浙江省,杭州市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-01 19:13:41 
86.184.202.243,英国,NULL,NULL,NULL,/ws/nearby_v3/nearby_category/ , 2015-06-01 18:14:09 
117.14.29.131,中国,天津市,天津市,NULL,/ws/mapapi/realtimebus/linestation/ , 2015-06-01 15:00:42 
58.245.172.201,中国,吉林省,延边朝鲜族自治州,延吉市,/ws/valueadded/weather/info/ , 2015-06-01 15:00:39 
